phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,source
train,0.6,61,-1,0.8344285714285714,129.9825406907541,84.375,5,1,0,0,243.9,23.47926199261993,267.37926199261994,252.0,-846.2399999999999,-594.24,69,64,58,53,44,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,62,-1,0.8317142857142857,199.7543037223017,29.166666666666668,0,0,0,0,284.6,23.47926199261993,308.07926199261993,-36.0,-852.2399999999999,-888.2399999999999,76,52,56,60,44,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,63,-1,0.829,253.48158431939407,7.638888888888889,0,0,65,5,289.70000000000005,23.47926199261993,313.17926199262,-1132.0,-901.32,-2033.32,77,57,47,45,62,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,64,-1,0.8262857142857143,140.64992847794707,86.80555555555556,5,1,0,0,262.3,23.47926199261993,285.7792619926199,315.0,-897.3,-582.3,63,67,51,56,51,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,65,-1,0.8235714285714286,123.90417182357535,53.47222222222222,35,12,0,0,265.5,23.47926199261993,288.9792619926199,-816.0,-865.4999999999999,-1681.4999999999998,77,55,49,58,49,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,66,-1,0.8208571428571428,161.92478762928076,70.48611111111111,0,0,0,0,294.1,23.47926199261993,317.57926199261993,321.0,-853.4999999999999,-532.4999999999999,74,68,42,55,49,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,67,-1,0.8181428571428572,190.91327291691357,50.0,0,0,0,0,284.70000000000005,23.47926199261993,308.17926199262,144.0,-836.22,-692.2199999999998,79,48,59,61,41,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,68,-1,0.8154285714285714,172.01680820799174,48.95833333333333,0,0,0,0,271.8,23.47926199261993,295.2792619926199,114.0,-859.3199999999999,-745.3199999999999,77,64,39,58,50,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,69,-1,0.8127142857142857,69.94029991549671,31.25,163,8,0,0,250.5,23.47926199261993,273.9792619926199,-4035.0,-856.3199999999999,-4891.32,64,76,45,59,44,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,70,-1,0.81,193.08666627537292,50.0,0,0,4,2,274.2,23.47926199261993,297.6792619926199,88.0,-829.9199999999998,-741.9199999999998,79,62,51,48,48,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,71,-1,0.8072857142857143,276.59247552954287,2.7777777777777777,0,0,114,7,273.0,23.47926199261993,296.4792619926199,-1860.0,-795.42,-2655.42,94,60,36,49,49,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,72,-1,0.8045714285714286,208.20069542261663,28.819444444444443,0,0,10,6,252.8,23.47926199261993,276.2792619926199,-179.0,-774.6599999999999,-953.66,90,54,52,53,39,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,73,-1,0.8018571428571428,150.65422539888152,81.94444444444444,0,0,0,0,261.8,23.47926199261993,285.2792619926199,405.0,-784.8,-379.8,84,61,45,62,36,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,74,-1,0.7991428571428572,125.13969014744306,66.66666666666666,37,4,0,0,245.8,23.47926199261993,269.2792619926199,-684.0,-901.86,-1585.86,69,53,56,59,51,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,75,-1,0.7964285714285715,244.8937241235261,9.722222222222223,0,0,53,8,250.1,23.47926199261993,273.57926199261993,-946.0,-819.1199999999999,-1765.12,83,53,55,53,44,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,76,-1,0.7937142857142857,125.11038961289258,63.54166666666666,50,5,0,0,263.29999999999995,23.47926199261993,286.77926199261987,-1020.0,-825.54,-1845.54,73,65,56,51,43,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,77,-1,0.791,93.92740442574154,55.55555555555556,91,11,0,0,282.0,23.47926199261993,305.4792619926199,-2103.0,-894.3599999999999,-2997.36,71,52,55,60,50,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,78,-1,0.7882857142857143,153.06316387576447,82.63888888888889,0,0,0,0,225.6,23.47926199261993,249.07926199262,426.0,-766.6199999999999,-340.6199999999999,103,47,44,49,45,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,79,-1,0.7855714285714286,126.39638557188034,89.23611111111111,1,1,0,0,258.4,23.47926199261993,281.8792619926199,408.0,-850.5,-442.5,78,63,52,40,55,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,80,-1,0.7828571428571429,181.14523528048989,53.47222222222222,0,0,0,0,239.1,23.47926199261993,262.57926199261993,174.0,-821.8799999999999,-647.8799999999999,86,61,42,49,50,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,81,-1,0.7801428571428571,67.97027732094121,26.041666666666668,191,6,0,0,225.0,23.47926199261993,248.47926199261997,-4713.0,-909.42,-5622.42,65,57,66,43,57,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,82,-1,0.7774285714285715,218.60183189230287,25.34722222222222,0,0,6,2,268.0,23.47926199261993,291.4792619926199,-153.0,-763.26,-916.26,100,43,61,39,45,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,83,-1,0.7747142857142857,157.65078862912776,84.72222222222221,0,0,0,0,251.7,23.47926199261993,275.1792619926199,444.0,-718.0799999999999,-274.08,96,64,47,45,36,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,84,-1,0.772,125.59594662486218,76.73611111111111,39,3,0,0,263.4,23.47926199261993,286.8792619926199,-588.0,-844.26,-1432.2600000000002,84,51,53,49,51,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,85,-1,0.7692857142857144,151.5060878940617,83.33333333333334,0,0,0,0,254.8,23.47926199261993,278.2792619926199,417.0,-764.8799999999999,-347.87999999999994,89,53,57,53,36,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,86,-1,0.7665714285714286,247.5098761592673,20.13888888888889,0,0,69,5,299.5,23.47926199261993,322.9792619926199,-1080.0,-697.4399999999998,-1777.44,101,72,39,36,40,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,87,-1,0.7638571428571428,100.678271948716,53.125,110,4,0,0,235.6,23.47926199261993,259.07926199261993,-2535.0,-781.3199999999999,-3316.32,70,66,73,45,34,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,88,-1,0.7611428571428571,128.3457807663622,70.48611111111111,37,2,0,0,250.0,23.47926199261993,273.4792619926199,-612.0,-744.5999999999999,-1356.6,90,57,56,51,34,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,89,-1,0.7584285714285715,213.3051375803493,21.52777777777778,0,0,0,0,261.70000000000005,23.47926199261993,285.17926199262,-102.0,-742.5,-844.5,96,51,60,42,39,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,90,-1,0.7557142857142858,122.56309066507455,93.75,0,0,0,0,218.8,23.47926199261993,242.27926199261995,492.0,-748.2,-256.19999999999993,82,62,60,54,30,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,91,-1,0.753,163.48540527858344,52.77777777777778,4,2,0,0,232.7,23.47926199261993,256.1792619926199,54.0,-716.5199999999999,-662.52,97,58,59,36,38,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,92,-1,0.7502857142857143,82.96608196285622,35.06944444444444,133,7,0,0,255.7,23.47926199261993,279.17926199262,-3306.0,-833.6399999999999,-4139.64,78,55,60,49,46,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,93,-1,0.7475714285714286,158.87308136539903,68.05555555555556,0,0,0,0,240.3,23.47926199261993,263.7792619926199,285.0,-732.8399999999999,-447.8399999999999,97,57,51,45,38,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,94,-1,0.7448571428571429,152.69610293070298,46.18055555555556,37,1,0,0,250.0,23.47926199261993,273.4792619926199,-804.0,-824.9999999999999,-1628.9999999999998,81,55,57,49,46,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,95,-1,0.7421428571428572,84.59043670199463,46.52777777777778,144,4,0,0,267.5,23.47926199261993,290.9792619926199,-3372.0,-929.7,-4301.7,67,50,64,48,59,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,96,-1,0.7394285714285714,152.23454445445986,50.0,26,1,0,0,247.2,23.47926199261993,270.6792619926199,-489.0,-817.56,-1306.56,87,51,52,52,46,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,97,-1,0.7367142857142857,201.3970649729333,34.375,0,0,7,1,259.4,23.47926199261993,282.8792619926199,-89.0,-791.6999999999999,-880.6999999999999,85,56,59,45,43,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,98,-1,0.734,162.9364087708289,73.95833333333334,0,0,0,0,284.1,23.47926199261993,307.57926199261993,351.0,-826.0799999999999,-475.0799999999999,93,40,53,54,48,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,99,-1,0.7312857142857143,137.8308274155528,67.36111111111111,27,5,0,0,230.7,23.47926199261993,254.17926199261996,-447.0,-770.5799999999999,-1217.58,94,52,47,56,39,dqn_penalty_sweep_coeff_0_6_seed42.csv
eval,0.6,99,0,0.0,78.04944519954434,40.27777777777778,140,7,0,0,162.0,23.47926199261993,185.47926199261997,-3396.0,-778.2,-4174.2,127,41,19,35,66,dqn_penalty_sweep_coeff_0_6_seed42.csv
eval,0.6,99,1,0.0,167.29498444726525,65.27777777777779,0,0,0,0,160.0,23.47926199261993,183.47926199261997,276.0,-387.84,-111.83999999999996,188,19,8,73,0,dqn_penalty_sweep_coeff_0_6_seed42.csv
eval,0.6,99,2,0.0,174.09440891218,54.16666666666666,0,0,0,0,188.8,23.47926199261993,212.27926199261992,180.0,-423.36,-243.36,192,5,0,91,0,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,0,-1,1.0,169.7460580995306,68.75,0,0,0,0,298.6,23.47926199261993,322.07926199261993,306.0,-970.02,-664.0199999999999,44,66,68,55,55,dqn_penalty_sweep_coeff_0_6_seed43.csv
train,0.6,1,-1,0.9972857142857144,182.16439027474584,52.083333333333336,0,0,0,0,286.6,23.47926199261993,310.07926199261993,162.0,-964.9199999999998,-802.9200000000001,59,57,51,63,58,dqn_penalty_sweep_coeff_0_6_seed43.csv
train,0.6,2,-1,0.9945714285714286,81.47880132471225,41.66666666666667,142,10,0,0,307.40000000000003,23.47926199261993,330.87926199261994,-3414.0,-980.88,-4394.88,59,50,57,62,60,dqn_penalty_sweep_coeff_0_6_seed43.csv
train,0.6,3,-1,0.9918571428571428,145.0947242991431,47.22222222222222,42,2,0,0,305.0,23.47926199261993,328.4792619926199,-918.0,-968.28,-1886.28,57,59,51,63,58,dqn_penalty_sweep_coeff_0_6_seed43.csv
train,0.6,4,-1,0.9891428571428572,243.3066338695436,13.541666666666666,0,0,17,4,280.2,23.47926199261993,303.6792619926199,-409.0,-939.3,-1348.3,66,50,61,52,59,dqn_penalty_sweep_coeff_0_6_seed43.csv
train,0.6,5,-1,0.9864285714285714,202.15128393148316,29.166666666666668,0,0,0,0,284.5,23.47926199261993,307.9792619926199,-36.0,-916.32,-952.32,62,56,63,55,52,dqn_penalty_sweep_coeff_0_6_seed43.csv
train,0.6,6,-1,0.9837142857142858,134.51767475391455,60.41666666666666,39,4,0,0,327.0,23.47926199261993,350.4792619926199,-765.0,-949.9199999999998,-1714.92,63,55,56,54,60,dqn_penalty_sweep_coeff_0_6_seed43.csv
